compensation,date,description,employment_type,lat,link,long,text
Commensurate with experience,2022-03-28 13:20,"[['\n        ', '\n', ' ', '\n\n', "", New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful restoration engineer with  4+ years’ experience to join us in executing a growing slate of challenging projects. "", ""\n\nWe work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region.  "", ""\n\nYou’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques.  "", ""\n\nTypically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready.  "", '\n\nWe offer an array of benefits and growth opportunities: ', '\n', '\n\nOur new Wall Street office is in the landmarked former Bankers Trust Company Building (Trowbridge & Livingston, 1912). The bright, spacious office on the 25th floor has high ceilings and views of lower Manhattan in four directions. Just steps from Federal Hall and Trinity Church, we’re easily accessible via public transportation: the 1, 2, 3, 4, 5, R, W, J, Z, and A/C lines all stop within a few blocks of our building. NYC Ferry access at Pier 11 is at the foot of Wall Street and the PATH World Trade Center station is nearby. ', '\n\nIf you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. ', '\n\nWith thanks for your interest, please note that only those candidates under consideration will be contacted. ', '\n\nFor additional information on our firm’s services, approach, and projects, visit ', '\n\n    ']]",full-time,40.707489,https://newyork.craigslist.org/mnh/egr/d/new-york-facade-building-envelope/7464012678.html,-74.010869,Facade / Building Envelope Restoration Engineer
Commensurate with experience,2022-03-28 19:54,"[['\n        ', '\nHello! We are Arsenal New York. We are a custom fabrication company specializing in retail design. We are looking for someone to work with us for the next three weeks to build millwork fixtures for a new store. We are looking for someone local who has 3d/Rhino/AutoCad experience designing furniture and millwork fixtures.', '\n', '\nIdeal candidate would be able to come to our office, or work remote in the tri-state area and has three years+ experience.', '\n', '\nDates:', '\nMonday, April 4 - April 22 - 8hrs/day', '\nAnd likely there would be edits after that.', '\n*If you are a great fit, could be temp to perm', '\n', '\nIf this sounds like you, we would love to hear from you. Please send us your cv and portfolio.', '\n', '\nThank you!', '\n', '\narsenalnewyork.com', '\n', '\n', '\n', '\nHello! We are Arsenal New York. We are a custom fabrication company specializing in retail design. We are looking for someone to work with us for the next three weeks to build millwork fixtures for a new store. We are looking for someone local who has 3d/Rhino/AutoCad experience designing furniture and millwork fixtures.', '\n', '\nIdeal candidate would be able to come to our office, or work remote in the tri-state area and has three years+ experience.', '\n', '\nDates:', '\nMonday, April 4 - April 22 - 8hrs/day', '\nAnd likely there would be edits after that.', '\n*If you are a great fit, could be temp to perm', '\n', '\nIf this sounds like you, we would love to hear from you. Please send us your cv and portfolio.', '\n', '\nThank you!', '\n', '\narsenalnewyork.com', '\n    ']]",contract,40.754700,https://newyork.craigslist.org/mnh/egr/d/new-york-freelance-3d-rhino-autocad/7464196854.html,-73.992500,Freelance 3D/Rhino/AutoCAD Designer
Provide Salary Requirments,2022-03-28 21:35,"[['\n        ', '\nWe are looking to hire a Full-time AutoCAD drafter in Astoria, Queens. The position requires reporting to the office (partial remote work will be considered, but generally presence is needed in the office).', '\n', '\nWe are looking for someone that is a team player and wants to grow with the company.', '\n', '\nThe position requires at minimum intermediate AutoCAD experience creating 2D designs.', '\n', '\nSince this is a small company, you will need to help out with other types of work including but not limited to: printing & preparing submittals for DOB/client submission, preparing/finishing reports, & couriering forms, drawings, etc...', '\n', '\nExperience in the construction/engineering industry is a plus.', '\n', '\nPlease provide the following: Resume, earliest start date, salary requirements, & your favorite AutoCAD command (only provide 1 command).', '\n    ']]",full-time,40.760800,https://newyork.craigslist.org/que/egr/d/astoria-autocad-drafter-for-engineering/7464227530.html,-73.929500,AutoCAD Drafter for Engineering Firm
TBD,2022-03-29 08:48,"[['\n        ', '\nWe are seeking a Project Manager to join our team! As Project Manager you will be responsible for the project management of assigned projects including buyout, scheduling, and coordination of all project activities, change order management and closeout.', '\n', '\nResponsibilities:', '\nExecution of assigned projects', '\nEnsuring that projects are delivered within contract requirements', '\nDirect and lead the work of technical staff', '\nMaintain required project documentation', '\n', '\n\u200bQualifications:', '\nPrevious experience in architectural metal and glass', '\nStrong project management skills', '\nStrong analysis and critical thinking skills', '\nStrong leadership qualities\n    ']]",full-time,40.776300,https://newyork.craigslist.org/que/egr/d/astoria-project-manager-glass-metal/7464310469.html,-73.911000,PROJECT MANAGER - GLASS & METAL
commensurate with experience and skillset,2022-03-29 12:33,"[['\n        ', '\n-We are a high end Architectural Design and Fine Art fabrication workshop that produces exquisite fabrication in metal for leading architects as well as sculpture for museum caliber fine artists. The workshop is located in Brooklyn, NY and is equiped with state of the art machinery that includes a 5 axis CNC waterjet cutting machine.  We specialize in all metal finishes including custom in-house patinas, mirror polishing, the gamut of metal plating/coatings and specialty glass work.\xa0  Projects often reach beyond custom metal fabrication and include coordination with master millworkers and custom glass experts.  The team is comprised of artisans, artists and designers all with mastery level skillsets.', '\n', '\n- We are looking for an energetic and talented drafter to create shop drawings in 3D and 2D. Position is in office and full-time. ', '\n', '\n- Candidate must be a team player, take charge as well as direction, be a good listener.', '\n', '\n- Must have experience in metal fabrication, design development skills and be an outside the box thinker.', '\n', '\n-Position is fast paced and all projects are one of a kind. Must be able to produce drawings quickly and precisely while closely adhering to architectural design intent.', '\n', '\n- All drawings are reviewed internally by our expert fabricators as well as the principals. Candidate must produce drawings that take method of assembly, fabrication and machining into account.', '\n', '\n- Preferred drawing programs are Fusion, Inventor, Autocad, Rhino and Solidworks.', '\n', '\n- Field measurements and field verification skills are a plus.', '\n    ']]",full-time,40.666900,https://newyork.craigslist.org/brk/egr/d/brooklyn-drafter-drawings-for/7464413740.html,-73.982800,Drafter/Drawings for Fabrication/ Design Development 2D and 3D
commensurate with experience,2022-03-29 13:29,"[['\n        ', '\nJED Engineering & Land Surveying, P.C. is a fast-growing multi-disciplined construction management, engineering and land surveying firm headquartered in New York. We are currently seeking the following for our Maryland office:', '\n', '\n- Survey Crew Chief (min. 5 years experience)', '\n- Instrument Person (min. 2 years experience)', '\n- Rod Person (min. 2 years experience)', '\n', '\n', '\nQualifications', '\n', '\n•\tAbility to use Survey CAD software a plus.', '\n•\tExperience with boundary, topographic, utilities surveying and construction stake out.', '\n•\tMust have a valid Driver’s License with an acceptable driving record.', '\n•\tSurveyor License is not required.  Having a license will be a plus, but not required', '\n', '\n', '\nWe offer a competitive wage, bonus incentive, excellent benefits package including 401(k) with company match, and medical and dental plans.  We are an Equal Opportunity Employer. Send resume with contact information for consideration.', '\n    ']]",full-time,40.730191,https://newyork.craigslist.org/que/egr/d/new-york-survey-crew-needed/7464443478.html,-73.994522,Survey crew needed
Based on actual experience,2022-03-29 16:05,"[['\n        ', '\nHigh-End Home Interiors firm, with a showroom in midtown Manhattan for 20-years:', '\nWe are seeking a full-time project manager or architect with experience in all aspects of millwork. This is an ideal position for a dynamic individual with a sophisticated eye for design and the ability to produce construction documents, detailed exterior, interior and millwork drawings. In addition, the person must possess a keen understanding of the design/construction process and the ability to manage multiple site tasks simultaneously.', '\n', '\nPosition responsibility:', '\nWork in offices as well as on construction sites.', '\nAbility to meet with clients or their designers, discuss their design concepts. ', '\nProduce construction documents and shop drawings to support design concepts.', '\nProduce and review project proposal specs.', '\nContact various vendors for bidding purposes.', '\nCoordinate with other architects and other trades throughout all project phases.', '\n ', '\nQualifications:', '\n62 Hour OSHA training is a must', '\nMin 3 years of professional experience in interior design with a focus on residential and commercial interiors.', '\nHigh Proficiency in AutoCAD drafting, strong organizational, creative, and presentation skills.', '\nProductive attitude and willingness to collaborate with the team.  ', '\nWork under pressure, produce deliverables, and meet deadlines.', '\n', '\nExcellent communication skills.  Proficient in Microsoft Office.', '\n', '\nPay: Based on actual experience', '\nPlease email resume', '\n    ']]",full-time,40.739730,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7464522404.html,-73.991079,Project Manager
Salary commiserate with experience.,2022-03-31 11:51,"[['\n        ', '\nAn established architecture-development firm is looking to hire a full-time structural P.E.', '\nfor structural analysis and design of excavation, underpinning, foundation, and framing plans for low to mid-rise buildings using: concrete, structural steel, masonry, and light gauge construction materials.', '\nApplicant must have experience with industry-standard analysis, design programs; AutoCAD, Ram, etc., and knowledge of NYC building code.', '\n', '\nIf you are looking for an amazing growth opportunity and a great work environment', '\nplease email your resume to Info@Highrisegroupny.com\n    ']]",full-time,40.652100,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-pe/7465222312.html,-74.001800,Structural Engineer P.E
TBD,2022-03-31 12:09,"[['\n        ', '\nFor more than a 35 years, our High End General Contracting Company has applied its uncompromising commitment to quality in building some of the country’s finest residential and commercial properties. We are currently searching for a dynamic Estimator to join us in our NYC office to perform the following:Preparing detailed estimates for multiple trades with quantity take-offs', '\n', '\nPreparing detailed estimates for multiple trades with quantity take-offs', '\nDeveloping and maintaining contacts with construction trades in various areas of the U.S.', '\nDefining and quantifying scope of work and preparing comprehensive conceptual, budgetary, and construction cost estimates for projects', '\nSolicitation of sub-contractor bids', '\nScheduling and coordination of walk-throughs and meetings', '\nPreparing proposal packages', '\nReviewing and distributing RFIs', '\nKeeping an accurate record of correspondence', '\nExcellent communication skills', '\nProficient with Microsoft Office (i.e. Word, Excel, Power-Point)', '\nFamiliar with Outlook and Timberline', '\nSkilled with the following Take-off software (Plan Swift, Onscreen Takeoff, Bluebeam, etc.)', '\nHighly organized, and self-starter', '\nOur choice candidate should have three years experience, be very organized and prepared to succeed. Computer literacy is required in Excel Spreadsheets. Benefits package, includes 401K and medical insurance.', '\n', '\nMUST PROVIDE AT LEAST (3) PROFESSIONAL REFERENCES AND SUBMIT SALARY REQUIREMENTS\n    ']]",full-time,40.754700,https://newyork.craigslist.org/mnh/egr/d/new-york-estimator/7465231979.html,-73.992500,Estimator
Salary,2022-03-31 12:13,"[['\n        ', '\nWe are a Full-Service Scenic Fabricator for the entertainment industry located inside of the Brooklyn Navy Yard, seeking an experienced Draftsperson for full-time employment.', '\n', '\nJob description', '\nGENERAL JOB STATEMENT:', '\n', '\nUsing AutoCAD, RHINO, or SketchUp, assist the Technical Designer in the creation of shop drawings based on scenic designs. Additionally, the draftsperson should be able to work with the scenic coordinator and technical direction staff to create drawings for items that may not have an accompanying scenic design specified.', '\n', '\nPRINCIPLE DUTIES AND RESPONSIBILITIES:', '\n', '\nComplete shop drawings in a timely, efficient manner.', '\nHave knowledge of a wide variety of building materials and construction methods.', '\nCall out specifications and sources for specialty hardware.', '\nWork with technical direction staff in determining safe, sturdy construction methods to ensure scenery is drafted well within acceptable safety design parameters.', '\nEngage in all other projects as requested by the Project Manager.', '\nMaintain a clean and safe work environment.', '\n', '\nQUALIFICATIONS AND SKILLS:', '\n', '\nBachelor’s Degree in Technical Theatre or related field/equivalent experience is preferred.', '\nA minimum of 2 years of experience in technical theatre is preferred.', '\nPrevious scenery building experience preferred.', '\nProficiency in AutoCAD, RHINO, SketchUp, or similar.', '\nExcellent communication and interpersonal skills.', '\nStrong organizational skills\n    ']]",full-time,40.692400,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsperson/7465234281.html,-73.966600,Draftsperson
TBD,2022-03-31 13:57,"[['\n        ', '\nClick here to apply: ', '\n', '\nCompany Overview: Burnham Nationwide is a provider of consulting services in the construction and real estate industries. We offer a complete array of building permit, code and sustainability consulting services that are required of construction projects. Since 1992 we have grown from a small office to a nationally recognized firm with the ability to provide services nationwide.', '\n', '\nPosition: As a member of our New York Operations team the Project Manager will plan, manage and execute the procurement of building permits and the completion of other consulting assignments.', '\n', '\nPosition Responsibilities:', '\n', '\n• Interface effectively with city officials, architects, engineers, contractors and building owners.', '\n', '\n• Ability to communicate and delegate building permit requirements to internal and external members of the project team.', '\n', '\n• Maintain strict timelines for submittals and deadlines.', '\n', '\n• Provide superior knowledge of New York City approval processes and requirements as gained through company training.', '\n', '\n• Understand theory and background for city requirements and how they may affect a potential construction project.', '\n', '\n• Manage multiple projects at one time while providing superior customer service.', '\n', '\nQualifications:', '\n', '\n• Undergraduate degree required from an accredited institution.', '\n', '\n• Working knowledge of NYC DOB NOW Filing System a plus', '\n', '\n• Must be able to qualify as Class 1 or 2 NYC Department of Buildings Filing Representative', '\n', '\n• Strong organizational skills with a strict attention to detail.', '\n', '\n• Strong written and verbal communication skills.', '\n', '\n• Excellent interpersonal skills.', '\n', '\n• Highly motivated individual with exceptional work ethic.', '\n', '\n• Ability to meet multiple deadlines in a fast paced environment.', '\n', '\n• Ability to pass federal background check for licensing.', '\n', '\nClick here to apply: ', '\n    ']]",full-time,40.713900,https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager/7465289218.html,-74.007000,Project Manager
"80,000-160,000",2022-03-31 15:05,"[['\n        ', '\nAre you working in civil engineering and want to make more money?', '\nHave you been looking for civil engineering jobs, but not making much progress?', '\n', '\nJoin Pathrise and level up your civil engineering job search for a high-paying career today!', '\n', '\nAbout Pathrise', '\n', '\nPathrise helps jobseekers get hired at companies like Apple, Facebook, Google, Salesforce, and more.', '\n', '\nWe\'ve been featured in TechCrunch, VentureBeat, and The Atlantic, and we\'ve even been called the ""Y Combinator for your career.""', '\n', ""\nIn the past 3 years, we've helped more than 1000 people land amazing jobs at some of the best and highest-paying companies in America."", '\n', '\nAbout the Fellowship', '\n', '\nPathrise fellows receive weekly 1-on-1 mentorship from Director and VP-level civil engineering leaders at companies like Google, IBM, and Linkedin.', ""\nYou'll learn strategies to get the attention of any company, dial in your resume, ace your interviews, and more. We can even refer you directly to companies in our network."", '\n', ""\nBy the end of the program, you'll have the skills and confidence to find a great job in civil engineering that pays you what you're worth."", '\n', '\nQualifications', '\n', ""\nWe're selective, and only work with motivated candidates who are serious about leveling up their careers."", '\n', ""\nBut if you're interested in civil engineering jobs, there's no better program to help you find a well-compensated job at a great company."", '\n', '\nTo apply for the Pathrise program, go here:', '\n', '\n    ']]",full-time,40.718500,https://newyork.craigslist.org/mnh/egr/d/new-york-city-accelerate-your-civil/7465323818.html,-74.002500,Accelerate your Civil Engineering Career
"80,000-160,000",2022-03-31 15:10,"[['\n        ', '\nAre you working in architecture and want to make more money?', '\nHave you been looking for architecture jobs, but not making much progress?', '\n', '\nJoin Pathrise and level up your architecture job search for a high-paying career today!', '\n', '\nAbout Pathrise', '\n', '\nPathrise helps jobseekers get hired at companies like Apple, Facebook, Google, Salesforce, and more.', '\n', '\nWe\'ve been featured in TechCrunch, VentureBeat, and The Atlantic, and we\'ve even been called the ""Y Combinator for your career.""', '\n', ""\nIn the past 3 years, we've helped more than 1000 people land amazing jobs at some of the best and highest-paying companies in America."", '\n', '\nAbout the Fellowship', '\n', '\nPathrise fellows receive weekly 1-on-1 mentorship from Director and VP-level architecture leaders at companies like Google, IBM, and Linkedin.', ""\nYou'll learn strategies to get the attention of any company, dial in your resume, ace your interviews, and more. We can even refer you directly to companies in our network."", '\n', ""\nBy the end of the program, you'll have the skills and confidence to find a great job in recruiting that pays you what you're worth."", '\n', '\nQualifications', '\n', ""\nWe're selective, and only work with motivated candidates who are serious about leveling up their careers."", '\n', ""\nBut if you're interested in architecture jobs, there's no better program to help you find a well-compensated job at a great company."", '\n', '\nTo apply for the Pathrise program, go here:', '\n', '\n    ']]",full-time,40.718500,https://newyork.craigslist.org/mnh/egr/d/new-york-city-accelerate-your/7465326324.html,-74.002500,Accelerate your Architecture Career
60K - 80K,2022-03-31 17:35,"[['\n        ', '\nNYC General Contractor looking for a full time assistant project manager with experience in interior construction and renovation (Residential and Commercial).', '\n', '\nDuties:', '\nAttending walkthroughs and job meetings', ""\nPrepare meeting notes, daily logs, submittals, change orders and RFI's"", '\nReview drawings and follow construction schedules', '\nManage company employees and assign tasks', '\nPrepare scope of work for sub-contractors', '\n', '\nRequirements:', '\nExperience in interior renovation', '\nOSHA certificate holder', '\nKnowledge with Microsoft Word, Excel and Outlook', '\nStrong written and verbal communication skills ', '\n', '\nSalary will depend on your experience.', '\n', '\nPlease send your resume with expected salary\n    ']]",full-time,40.824600,https://newyork.craigslist.org/mnh/egr/d/new-york-full-time-assistant-project/7465393779.html,-73.950700,FULL TIME ASSISTANT PROJECT MANAGER
Will discuss,2022-03-31 22:18,"[['\n        ', '\nLooking for an AOR (Licensed architect) to review and S&S and file architectural plans. Drawings will be provided.', '\n    ']]",contract,40.709500,https://newyork.craigslist.org/brk/egr/d/brooklyn-aor/7465483437.html,-73.956300,AOR
Commensurate with experience,2022-04-01 11:19,"[['\n        ', '\n', ' ', '\n\n', "", New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful restoration engineer with  4+ years’ experience to join us in executing a growing slate of challenging projects. "", ""\n\nWe work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region.  "", ""\n\nYou’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques.  "", ""\n\nTypically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready.  "", '\n\nWe offer an array of benefits and growth opportunities: ', '\n', '\n\nOur new Wall Street office is in the landmarked former Bankers Trust Company Building (Trowbridge & Livingston, 1912). The bright, spacious office on the 25th floor has high ceilings and views of lower Manhattan in four directions. Just steps from Federal Hall and Trinity Church, we’re easily accessible via public transportation: the 1, 2, 3, 4, 5, R, W, J, Z, and A/C lines all stop within a few blocks of our building. NYC Ferry access at Pier 11 is at the foot of Wall Street and the PATH World Trade Center station is nearby. ', '\n\nIf you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. ', '\n\nWith thanks for your interest, please note that only those candidates under consideration will be contacted. ', '\n\nFor additional information on our firm’s services, approach, and projects, visit ', '\n\n    ']]",full-time,40.707489,https://newyork.craigslist.org/mnh/egr/d/new-york-facade-building-envelope/7465624511.html,-74.010869,Facade / Building Envelope Restoration Engineer
based on experience,2022-04-02 10:46,"[['\n        ', '\nSmall well-established architectural firm specializing in residential design located in Ridgefield Ct. is looking for an experienced architect. Should have 5-10 years office experience & be very proficient in Autocad. Tasks consist of measuring houses, drawing existing floor plans and elevations, developing hand drawn sketches into design drawings and producing construction drawings. Will work on all stages of a project from start to finish which vary in size, complexity, budget & style. A passion for designing houses & architecture in general is a plus.', '\n   Must know light frame wood construction & be able to put together a set of construction drawings with little oversight. Should be detail oriented, thorough, meticulous & interested in constantly improving your skill set. ', '\n  Candidate should be somewhat local to Ridgefield, as there is no interest in remote working.', '\nBenefits include paid vacation, personal days, holidays & 401K. Bonus pay for excellent work. Salary will be based on experience.', '\nPlease respond with a cover letter, salary (or $/hour), resume and examples of recently completed construction drawings.', '\n    ']]",full-time,41.297700,https://newyork.craigslist.org/fct/egr/d/ridgefield-architect-draftsman/7466026956.html,-73.497300,architect/draftsman
"High weekly commission based pay. Current DPM's are earning $45,504 - $90,000 per year",2022-04-03 06:13,"[['\n        ', '\nWHAT WE DO', '\n', '\nAs a turn-key, reputable, midtown Manhattan-based residential interior remodeling firm, we make it easier for homeowners to have renovations done as we handle everything from design and product selection assistance to orders, deliveries, permits and installations. We back it up with an on-time guarantee and 7 year labor and products warranty.', '\n', '\nOur projects range from full apartment and house interior renovations to combining apartments, kitchens, basements, bathrooms. Project Prices range from 40k to 600k+.', '\n', '\nSKILLS REQUIRED', '\n', ""\nThis role requires proficiency in both residential interior design (min 10 yrs) and project management (min 5 yrs) of Co-op apartment and house interior renovations. You'll be the team leader, taking projects from start to finish. Experience should include at least 10 projects in Manhattan or other major city and experience supervising trades in the field."", '\n', '\nPrefer NYC resident or within 45 minutes commute.', '\n', '\nDesign competence in either SketchUp, AutoCAD, 20/20 or other design software.', '\n', '\nYOUR ROLE', '\n', '\nAn essential component of the job will be excellent and frequent communication with the client, The ideal candidate will know how to maintain good rapport with clients and be experienced enough to run projects, trouble-shoot and resolve problems quickly.', '\n', '\nWe have a well developed and continuously improving system.', '\n', ""\nDesign sales work will include meeting our client at their home/apartment and subsequently, designing, writing work scopes, meeting and guiding clients through product selections at our and other product showrooms. Creating products lists. Trades walkthroughs. Ongoing support. After that, project management work will include scheduling, site visits twice a week or more, coordinating and supervising trades and product deliveries, client interactions, timely completions. As the head of the team, you'll be running the project."", '\n', '\nHours will include some evening and weekend appointments based on client needs.', '\n', '\nReal opportunities for advancement as we are poised for growth (particularly in the last 3 years) and have a great location.', '\n', '\nCOMPENSATION', '\n', '\nCompensation: High weekly, commission based pay. ', '\nThis means your earning potential is unlimited and based on your design and project management skills, client rapport and organization.', ""\nCurrent DPM's are earning $45,504 - $90,000 per year."", '\n', '\n+401K', '\n', '\n+Performance bonuses', '\n', '\n+Advancement Opportunities', '\n', '\n+Paid time off', '\n', '\n-No healthcare currently offered', '\n', '\nemployment type: full-time', '\n', '\nCOVID-19 considerations:', '\nWe follow all proper safety precautions.', '\n', '\n', '\n    ']]",full-time,40.751700,https://newyork.craigslist.org/mnh/egr/d/new-york-residential-interior-designer/7466357944.html,-73.970700,Residential Interior Designer/Project Manager w-10 yrs experience
Based on Qualification,2022-04-04 09:00,"[['\n        ', '\nBusy Design and Consulting firm is looking for a talented person, to OBTAIN existing / as-built property MEASUREMENTS / SURVEYOR & DRAFTER to join our team.', '\n', '\nOur work includes renovations and ground ups of small, medium and large scale single and multi-family residential, commercial, community facility and mixed-use projects.', '\n', '\nCandidates must be self-motivated, reliable and able to manage all aspects of a project.', '\n', '\nCandidate Qualifications:', '\nProficiency in Revit and AutoCAD.', '\n', '\nWe are looking for highly motivated individuals who are willing to take on responsibility and grow with our team. Interested applicants must be quick to learn and adapt new drawing methods, related zoning & code rules, DOB and related agency requirements. detail-oriented, collaborative, and eager to take on challenges', '\n', '\nQualified individuals should submit a *brief description of your qualifications, *work samples, *starting salary requirements, in pdf or word format\n    ']]",full-time,40.617900,https://newyork.craigslist.org/brk/egr/d/brooklyn-draftsperson-surveyor-measurer/7466757442.html,-73.985600,Draftsperson / Surveyor / Measurer
Commensurate with experience,2022-04-04 09:25,"[['\n        ', '\n', ' ', '\n\n', "", New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking resourceful structural engineers with  4+ years’ experience to join us in executing a growing slate of challenging projects. "", ""\n\nWe work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region.  "", ""\n\nYou’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques.  "", ""\n\nTypically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready.  "", '\n\nWe offer an array of benefits and growth opportunities: ', '\n', '\n\nOur new Wall Street office is in the landmarked former Bankers Trust Company Building (Trowbridge & Livingston, 1912). The bright, spacious office on the 25th floor has high ceilings and views of lower Manhattan in four directions. Just steps from Federal Hall and Trinity Church, we’re easily accessible via public transportation: the 1, 2, 3, 4, 5, R, W, J, Z, and A/C lines all stop within a few blocks of our building. NYC Ferry access at Pier 11 is at the foot of Wall Street and the PATH World Trade Center station is nearby. ', '\n\nIf you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. ', '\n\nWith thanks for your interest, please note that only those candidates under consideration will be contacted. ', '\n\nFor additional information on our firm’s services, approach, and projects, visit ', '\n\n    ']]",full-time,40.707489,https://newyork.craigslist.org/mnh/egr/d/new-york-facade-building-envelope/7466766485.html,-74.010869,Facade / Building Envelope Structural Engineer
Negotiable,2022-04-04 12:16,"[['\n        ', '\nWe are a small office located at Hollis in Queens, NY looking for an Intermediate Architect for mostly small to medium sized residential and commercial projects. You must be a US citizen or a permanent resident, or have a legal work permit, with some experience working on the above type projects, and be proficient with Autocad release 2016 and above.', '\n', '\nYou must be able to independently put together sets of plans prepared for approval at the Department of Buildings in all Boroughs in New York city.', '\n', '\nYou should have a good understanding of, and be able to put together the following:', '\n- Alteration 1 plans (with changes in use, egress or occupancy)', '\n- Alteration 2 plans (with no change in use egress or occupancy)', '\n- Alteration 3 plans (with no change in use egress or occupancy)', '\n- New Building plans (of small to medium sized residential and commercial buildings)', '\n- Building Pavement plans', '\n- SD1 &2 plans (for the Department of Environmental Protection)', '\n', '\nYou should in addition to the above be proficient with the following:', '\n- Zoning analysis and computations', '\n- Basic RPZ and Back Flow prevention details for plumbing and sprinkler systems', '\n- Energy Analysis', '\n- Field measurements', '\n- Architectural details', '\n- DOB Now', '\n', '\nYou should have reasonably good communication skills, be able to relate to clients well, and be able to work well with others.', '\n', '\nIf you feel that you qualify, kindly send us your resume to email listed for review and consideration. We will gladly get back to you for an interview if we feel that you are a possible candidate for this position. At the interview, you will be required to produce samples of your work to demonstrate proficiency with all or most of the above, and at least two (2) references of your supervisors or others who know you well and have worked with you.', '\n', '\n', '\n', '\n    ']]",contract,40.714200,https://newyork.craigslist.org/que/egr/d/intermediate-architect-residential/7466853171.html,-73.767700,Intermediate Architect (residential; commercial)
"Salary   $ 70,00.00",2022-04-04 14:30,"[['\n        ', '\n60 Year Westchester/Fairfield County Remodeling Company seeks a full time estimator for immediate hire. This is an in-house position in our Mamaroneck, NY office. MUST have thorough knowledge of wood frame construction, windows and doors, blue print reading and take-offs, knowledge of plumbing, electrical trades, etc. Microsoft office and Excel knowledge is required. Please submit resume with related work experience.', '\n    ']]",full-time,40.952500,https://newyork.craigslist.org/fct/egr/d/mamaroneck-residential-construction/7466930925.html,-73.735000,RESIDENTIAL CONSTRUCTION ESTIMATOR (Blueprint take-offs)
